tranche	status	coq	p_lot	cultivation_batch	issued	date_before	date_after	row	parameter	before	before_source	after	after_source
T3	applied 26.09	CoQ-PP_26-009	P050032	MB0824_04	no	06.06.2026	11.09.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-016	P050102	GP0824_01	no	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-016	P050102	GP0824_01	no	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-018	P050122	BSS1024_01	no	06.06.2026	06.06.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-018	P050122	BSS1024_01	no	06.06.2026	06.06.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-019	P050132	OPM052501	no	06.06.2026	11.09.2026	6	Total CBN	[ — ]		< LOQ	227-11-К/26
T3	applied 26.09	CoQ-PP_26-019	P050132	OPM052501	no	06.06.2026	11.09.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-019	P050132	OPM052501	no	06.06.2026	11.09.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	3	Identification C (HPLC)	[ — ]		Conforms	227-1-К/26
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	4	Total THC	[ — ]		26.69	227-1-К/26
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	5	Total CBD	[ — ]		< LOQ	227-1-К/26
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	6	Total CBN	[ — ]		< LOQ	227-1-К/26
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	8	Loss on drying	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	9.1	TAMC	[ — ]		< 10	559/1090/26
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	9.2	TYMC	[ — ]		< 10	559/1090/26
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	9.3	Bile-tolerant GNB	[ — ]		< 10	559/1090/26
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	9.4	Salmonella	[ — ]		Absent	559/1090/26
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	9.5	E. coli	[ — ]		Absent	559/1090/26
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	10.1	Aflatoxin B1	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	10.2	Aflatoxins total	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	10.3	Ochratoxin A	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	11.1	Lead	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	11.2	Cadmium	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	11.3	Arsenic	[ — ]		n/t	
T3	applied 26.09	CoQ-PP_26-021	P050142	BSS1024_01/2	no	06.06.2026	11.09.2026	11.4	Mercury	[ — ]		n/t	
