Batch,Cultivation batch,Strain,Certificate,Series,Date of issue,#,Parameter,Result,Document,Issued,Laboratory,Internal,Status
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,9.5,Escherichia coli,Absent | Отсутна,161/0269/25,24.02.2025,IPH — Institute of Public Health,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,9.5,Escherichia coli,Absent | Отсутна,161/0269/25,24.02.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0001) — covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,9.6,Pseudomonas aeruginosa,upon request — not required for release,—,—,—,,upon request — not required for release
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,9.6,Pseudomonas aeruginosa,upon request — not required for release,—,—,—,,upon request — not required for release
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,9.7,Staphylococcus aureus,upon request — not required for release,—,—,—,,upon request — not required for release
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,9.7,Staphylococcus aureus,upon request — not required for release,—,—,—,,upon request — not required for release
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,10.1,Aflatoxin B₁,not tested,—,—,—,,not tested — no certificate covers it
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,10.1,Aflatoxin B₁,ND,197-2-М/26,10.08.2026,Farmahem,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,10.2,Aflatoxins ∑,< 2,751/2025,27.02.2025,IPH — Institute of Public Health,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,10.2,Aflatoxins ∑,ND,197-2-М/26,10.08.2026,Farmahem,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,10.3,Ochratoxin A,not tested,—,—,—,,not tested — no certificate covers it
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,10.3,Ochratoxin A,ND,197-2-М/26,10.08.2026,Farmahem,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,11.1,Lead (Pb),0.071,751/2025,27.02.2025,IPH — Institute of Public Health,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,11.1,Lead (Pb),0.071,751/2025,27.02.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0001) — covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,11.2,Cadmium (Cd),0.014,751/2025,27.02.2025,IPH — Institute of Public Health,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,11.2,Cadmium (Cd),0.014,751/2025,27.02.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0001) — covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,11.3,Arsenic (As),0.081,751/2025,27.02.2025,IPH — Institute of Public Health,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,11.3,Arsenic (As),0.081,751/2025,27.02.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0001) — covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,11.4,Mercury (Hg),0.014,751/2025,27.02.2025,IPH — Institute of Public Health,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,11.4,Mercury (Hg),0.014,751/2025,27.02.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0001) — covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-002,release,06.06.2026,12,Pesticide Residues,ND,751/2025,27.02.2025,IPH — Institute of Public Health,,covered
BSS1024,BSS1024,Blue Sunset Sherbet,CoQ-PP_26-086,reissue — 12-month retest,17.08.2026,12,Pesticide Residues,ND,751/2025,27.02.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0001) — covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,1,"Identification A, Appearance · Macroscopic",Conforms | Одговара,iCoA-PP_26-003,03.06.2026,Purely Plant GmbH (in-house),yes,to be performed — see route
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,1,"Identification A, Appearance · Macroscopic",Conforms | Одговара,iCoA-PP_26-098,27.07.2026,Purely Plant GmbH (in-house),yes,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,2,Identification B · Microscopic,Conforms | Одговара,iCoA-PP_26-003,03.06.2026,Purely Plant GmbH (in-house),yes,to be performed — see route
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,2,Identification B · Microscopic,Conforms | Одговара,iCoA-PP_26-098,27.07.2026,Purely Plant GmbH (in-house),yes,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,3,Identification C · HPLC/HPTLC,Conforms | Одговара,ППК25050,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,3,Identification C · HPLC/HPTLC,Conforms | Одговара,197-1-К/26,07.08.2026,Farmahem,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,4,Assay — Total Δ⁹-THC,21.80,ППК25050,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,4,Assay — Total Δ⁹-THC,26.14,197-1-К/26,07.08.2026,Farmahem,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,5,Assay — Total CBD,0.04,ППК25050,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,5,Assay — Total CBD,< LOQ,197-1-К/26,07.08.2026,Farmahem,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,6,Total CBN,0.02,ППК25050,26.02.2025,CNP,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,6,Total CBN,0.28,197-1-К/26,07.08.2026,Farmahem,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,7,Foreign Matter,Conforms | Одговара,iCoA-PP_26-003,03.06.2026,Purely Plant GmbH (in-house),yes,to be performed — see route
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,7,Foreign Matter,Conforms | Одговара,iCoA-PP_26-098,27.07.2026,Purely Plant GmbH (in-house),yes,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,8,Loss on Drying,5.73,ППК25050,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,8,Loss on Drying,5.73,ППК25050,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,,carried from the initial testing (CoQ-PP-2025-0002) — covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,9.1,TAMC,1.6 × 10⁴,163/0271/25,24.02.2025,IPH — Institute of Public Health,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,9.1,TAMC,1.6 × 10⁴,163/0271/25,24.02.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0002) — covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,9.2,TYMC,1 × 10⁴,163/0271/25,24.02.2025,IPH — Institute of Public Health,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,9.2,TYMC,1 × 10⁴,163/0271/25,24.02.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0002) — covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,9.3,Bile-tolerant gram-neg.,< 10² and > 10,163/0271/25,24.02.2025,IPH — Institute of Public Health,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,9.3,Bile-tolerant gram-neg.,< 10² and > 10,163/0271/25,24.02.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0002) — covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,9.4,Salmonella,Absent | Отсутна,163/0271/25,24.02.2025,IPH — Institute of Public Health,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,9.4,Salmonella,Absent | Отсутна,163/0271/25,24.02.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0002) — covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-003,release,06.06.2026,9.5,Escherichia coli,Absent | Отсутна,163/0271/25,24.02.2025,IPH — Institute of Public Health,,covered
BG1024,BG1024,Blue Gelato,CoQ-PP_26-085,reissue — 12-month retest,17.08.2026,9.5,Escherichia coli,Absent | Отсутна,163/0271/25,24.02.2025,IPH — Institute of Public Health,,carried from the initial testing (CoQ-PP-2025-0002) — covered
