Tranche,Release CoQ code,Issued,Superseded by (retest CoQ),Retest issued,Production batch (P lot),Cultivation batch,Strain,Product type,Grade,Product code,Potency window (%),Nominal ± tol (%),Total THC result (%),CBD (%),CBN (%),Potency certificate,Certificate issued,Laboratory,Internal CoA,Internal CoA issued,Retest Total THC (%),Retest potency certificate
3,CoQ-PP_26-050,06.06.2026,CoQ-PP_26-152,21.09.2026,P060142,GRC102501/1,Graps & Creme,HYBRID · THC · MACHINE TRIMMED (TO BE DETERMINED),,,,,—,—,—,—,,,iCoA-PP_26-048,03.06.2026,7.50,227-16-К/26
1,CoQ-PP_26-051,06.06.2026,CoQ-PP_26-099,17.08.2026,P060152,J31102501,Jokerz 31,HYBRID · THC · MACHINE TRIMMED (INDICA 70 : SATIVA 30),Grade III,J31_THC18 : CBD1,16.20 – 19.79,18.00 ± 1.80,19.14,< LOQ (<0.20),< LOQ,051-1-К/26,04.03.2026,Farmahem,iCoA-PP_26-052,03.06.2026,17.32,197-16-К/26
3,CoQ-PP_26-052,06.06.2026,CoQ-PP_26-162,21.09.2026,,SJ102501,Sleepy Joy,HYBRID · THC · MACHINE TRIMMED (TO BE DETERMINED),Grade I,SJ_THC12 : CBD1,11.00 – 12.99,12.00 ± 1.00,11.20,< LOQ (<0.20),< LOQ,051-3-К/26,04.03.2026,Farmahem,iCoA-PP_26-053,03.06.2026,10.61,227-6-К/26
2,CoQ-PP_26-053,06.06.2026,CoQ-PP_26-126,18.09.2026,P060172,KC102501,Kush Crasher,INDICA · THC · MACHINE TRIMMED,Grade I,KC_THC18 : CBD1,16.20 – 19.79,18.00 ± 1.80,17.04,< LOQ (<0.20),< LOQ,051-4-К/26,04.03.2026,Farmahem,iCoA-PP_26-054,03.06.2026,17.06,220-19-К/26
2,CoQ-PP_26-054,06.06.2026,CoQ-PP_26-120,18.09.2026,P060182,GRC102501/2,Grapes and Cream,HYBRID · THC · MACHINE TRIMMED (TO BE DETERMINED),Grade I,GRC_THC12 : CBD1,11.00 – 12.99,12.00 ± 1.00,11.53,< LOQ (<0.20),< LOQ,051-6-К/26,04.03.2026,Farmahem,iCoA-PP_26-055,03.06.2026,9.80,220-14-К/26
3,CoQ-PP_26-055,06.06.2026,CoQ-PP_26-163,21.09.2026,,SJ112501,Sleepy Joy,HYBRID · THC · MACHINE TRIMMED (TO BE DETERMINED),Grade II,SJ_THC10 : CBD1,9.00 – 10.99,10.00 ± 1.00,9.20,< LOQ (<0.20),< LOQ,051-2-К/26,04.03.2026,Farmahem,iCoA-PP_26-056,03.06.2026,11.27,227-5-К/26
3,CoQ-PP_26-056,06.06.2026,CoQ-PP_26-153,21.09.2026,,J31112501,Jokerz 31,HYBRID · THC · MACHINE TRIMMED (INDICA 70 : SATIVA 30),Grade I,J31_THC26 : CBD1,24.20 – 27.79,26.00 ± 1.80,25.27,< LOQ (<0.20),< LOQ,051-5-К/26,04.03.2026,Farmahem,iCoA-PP_26-057,03.06.2026,23.85,227-14-К/26
1,CoQ-PP_26-057,06.06.2026,CoQ-PP_26-100,17.08.2026,P060212,JD112501,Jelly Donuts,HYBRID · THC · MACHINE TRIMMED (SATIVA 60 : INDICA 40),Grade II,JD_THC18 : CBD1,16.20 – 19.79,18.00 ± 1.80,19.64,0.06,< LOQ %,ППК26063,11.05.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-058,03.06.2026,20.32,197-15-К/26
3,CoQ-PP_26-058,06.06.2026,CoQ-PP_26-158,21.09.2026,,OPM112501,Orange Punch Mimosa,INDICA · THC · MACHINE TRIMMED,Grade V,OPM_THC8 : CBD1,7.20 – 8.79,8.00 ± 0.80,8.00,0.02,—,ППК26031,05.03.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-059,03.06.2026,9.73,227-10-К/26
2,CoQ-PP_26-059,06.06.2026,CoQ-PP_26-131,18.09.2026,P060232,PM112501,Permanent Marker,HYBRID · THC · MACHINE TRIMMED (INDICA-DOMINANT),Grade I,PM_THC14 : CBD1,13.00 – 14.99,14.00 ± 1.00,13.33,0.03,0.01 % %,ППК26030,05.03.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-060,03.06.2026,10.80,220-24-К/26
1,CoQ-PP_26-060,06.06.2026,CoQ-PP_26-103,17.08.2026,P060242,OPM122501,Orange Punch Mimosa,INDICA · THC · MACHINE TRIMMED,Grade V,OPM_THC8 : CBD1,7.20 – 8.79,8.00 ± 0.80,8.09,< LOQ (<0.20),< LOQ,100-4-К/26,09.04.2026,Farmahem,iCoA-PP_26-061,03.06.2026,7.91,197-19-К/26
3,CoQ-PP_26-061,06.06.2026,CoQ-PP_26-148,21.09.2026,,GG112501,Gorilla Glue,INDICA · THC · MACHINE TRIMMED,Grade I,GG_THC18 : CBD1,16.23 – 19.76,18.00 ± 1.77,17.94,0.08,—,ППК26061,11.05.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-062,03.06.2026,18.64,227-20-К/26
3,CoQ-PP_26-062,06.06.2026,CoQ-PP_26-154,21.09.2026,,J31122501,Jokerz 31,HYBRID · THC · MACHINE TRIMMED (INDICA 70 : SATIVA 30),Grade II,J31_THC22 : CBD1,19.80 – 24.19,22.00 ± 2.20,19.84,< LOQ (<0.20),< LOQ,100-2-К/26,09.04.2026,Farmahem,iCoA-PP_26-070,03.06.2026,24.48,227-13-К/26
3,CoQ-PP_26-063,06.06.2026,CoQ-PP_26-139,21.09.2026,,CC112501,Cash Cow,HYBRID · THC · MACHINE TRIMMED (INDICA 70 : SATIVA 30),Grade II,CC_THC14 : CBD1,12.65 – 15.34,14.00 ± 1.35,13.35,0.04,—,ППК26068,11.05.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-071,03.06.2026,16.36,227-25-К/26
2,CoQ-PP_26-064,06.06.2026,CoQ-PP_26-133,18.09.2026,P060282,SCR112501,Scrambler,HYBRID · THC · MACHINE TRIMMED (TO BE DETERMINED),Grade II,SCR_THC18 : CBD1,16.20 – 19.79,18.00 ± 1.80,17.13,0.04,< LOQ %,ППК26069,11.05.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-072,03.06.2026,19.73,220-26-К/26
3,CoQ-PP_26-065,06.06.2026,CoQ-PP_26-145,21.09.2026,,FB112501,Fat Bastard,HYBRID · THC · MACHINE TRIMMED (BALANCED),Grade II,FB_THC18 : CBD1,16.20 – 19.79,18.00 ± 1.80,16.69,0.05,—,ППК26066,11.05.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-073,03.06.2026,18.75,227-22-К/26
3,CoQ-PP_26-066,06.06.2026,CoQ-PP_26-146,21.09.2026,,GG012601,Gorilla Glue,INDICA · THC · MACHINE TRIMMED,Grade II,GG_THC15 : CBD1,13.77 – 16.22,15.00 ± 1.23,15.35,0.06,—,ППК26062,11.05.2026,UKIM Faculty of Pharmacy — Center for Natural Products,iCoA-PP_26-074,03.06.2026,19.16,227-21-К/26
