code	cu	p	strain	dir	series	tested	packaging	issued	conforms	path
iCoA-PP_26-201	BSS1024_01/1	P050122	Blue Sunset Sherbet	RETEST	retest 1	01.09.2026	01.09.2025	01.09.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-201_P050122_BSS_Blue_Sunset_Sherbet_Retest_1.html
iCoA-PP_26-202	BSS1024_01/2	P050142	Blue Sunset Sherbet	RETEST	retest 1	01.09.2026	30.09.2025	01.09.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-202_P050142_BSS_Blue_Sunset_Sherbet_Retest_1.html
iCoA-PP_26-203	CJ052501/02	P050172	Cap Junky	RETEST	retest 1	01.09.2026	01.10.2025	01.09.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-203_P050172_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-204	CJ072501	P050252	Cap Junky	RETEST	retest 1	01.09.2026	27.11.2025	01.09.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-204_P050252_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-205	CJ1024	N/A — no P batch assigned	Cap Junky	RETEST	retest 1	01.09.2026	03.03.2025	01.09.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-205_CJ1024_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-206	GG1024_02	P050012	Gorilla Glue	RETEST	retest 1	01.09.2026	11.06.2025	01.09.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-206_P050012_GG_Gorilla_Glue_Retest_1.html
iCoA-PP_26-207	GP062501	P050202	Grape Pie	RETEST	retest 2	01.09.2026	30.10.2025	01.09.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-207_P050202_GP_Grape_Pie_Retest_2.html
iCoA-PP_26-208	GP072501/1	P050292	Grape Pie	RETEST	retest 1	01.09.2026	15.12.2025	01.09.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-208_P050292_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-209	GP0824_01	P050102	Grape Pie	RETEST	retest 1	01.09.2026	05.08.2025	01.09.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-209_P050102_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-210	GRC102501	P060142	Grapes And Cream	RETEST	retest 1	01.09.2026	23.02.2026	01.09.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-210_P060142_GAC_Grapes_And_Cream_Retest_1.html
iCoA-PP_26-211	MB0824_04	P050032	Motor Breath	RETEST	retest 1	01.09.2026	16.06.2025	01.09.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-211_P050032_MB_Motor_Breath_Retest_1.html
iCoA-PP_26-212	OPM052501	P050132	Orange Punch Mimosa	RETEST	retest 1	01.09.2026	09.09.2025	01.09.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-212_P050132_OPM_Orange_Punch_Mimosa_Retest_1.html
iCoA-PP_26-213	PM072501	P050272	Permanent Marker	RETEST	retest 1	01.09.2026	02.12.2025	01.09.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-213_P050272_PM_Permanent_Marker_Retest_1.html
iCoA-PP_26-214	WC072501	P050262	Wedding Crusher	RETEST	retest 1	01.09.2026	01.12.2025	01.09.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-214_P050262_WC_Wedding_Crusher_Retest_1.html
iCoA-PP_26-215	WED102501	P060102	Wedding Cake	RETEST	retest 1	01.09.2026	16.02.2026	01.09.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-215_P060102_WED_Wedding_Cake_Retest_1.html
