wave	wave_name	coq_code	issue_date	batch	pp_batch	strain	version	supersedes_qccoa	supersedes_coq	tranche	spec_code	param_no	parameter	criterion	state	value	source	cert_code	route
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	10c	Ochratoxin A	≤ 20 µg/kg	NOT TESTED				OUTSOURCE
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	11a	Lead (Pb)	≤ 0.5 mg/kg	OUTSOURCED	0,02	IJZ	1766/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	11b	Cadmium (Cd)	≤ 0.3 mg/kg	OUTSOURCED	0,007	IJZ	1766/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	11c	Arsenic (As)	≤ 0.2 mg/kg	OUTSOURCED	0,015	IJZ	1766/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	11d	Mercury (Hg)	≤ 0.1 mg/kg	OUTSOURCED	0,005	IJZ	1766/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0004	2025-04-17	GG1024_01	P050092	Gorilla Glue	1	QCCoA 001		T1	QCSP_001_GG-I_v.01	12	Pesticide Residues	≤ LOQ per МКС EN 15662	OUTSOURCED	≤ LOQ (all 27 compounds)	IJZ	1766/2025	
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0009	2025-05-07	OPM1024_01	P050042	Orange Punch Mimosa	1	QCCoA 001		T2	QCSP_001_OPM-III_v.01	1	Identification A, Appearance	Conforms to monograph	MISSING				iCoA
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0009	2025-05-07	OPM1024_01	P050042	Orange Punch Mimosa	1	QCCoA 001		T2	QCSP_001_OPM-III_v.01	2	Identification B	Conforms to monograph	MISSING				iCoA
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0009	2025-05-07	OPM1024_01	P050042	Orange Punch Mimosa	1	QCCoA 001		T2	QCSP_001_OPM-III_v.01	3	Identification C	Conforms to monograph	MISSING				iCoA?
1	Supersede QCCoA 001 / 001 v.02	CoQ-PP-2025-0009	2025-05-07	OPM1024_01	P050042	Orange Punch Mimosa	1	QCCoA 001		T2	QCSP_001_OPM-III_v.01	4	Assay — Total Δ9-THC	16.20 - 19.79 %	OUTSOURCED	15.38	UKIM_CNP	ППК25117	
