#	Production	CoQ doc. code (proposed)	Batch	P-Number	Strain	Product code	Round	1 — Macroscopic ID (Test A)	eCoA reference	2 — Microscopic ID (Test B)	eCoA reference	3 — HPTLC ID (Test C)	eCoA reference	4 — Total Δ⁹-THC (%)	Grade (v.02)	eCoA reference	5 — Total CBD (%)	eCoA reference	6 — Total CBN (%)	eCoA reference	7 — Foreign Matter (%)	eCoA reference	8 — Loss on Drying (%)	eCoA reference	9.1 — TAMC (CFU/g)	eCoA reference	9.2 — TYMC (CFU/g)	eCoA reference	9.3 — Bile-tol. gram-negative (CFU/g)	eCoA reference	9.4 — Salmonella	eCoA reference	9.5 — Escherichia coli	eCoA reference	10.1 — Aflatoxin B1 (µg/kg)	eCoA reference	10.2 — Total Aflatoxins (µg/kg)	eCoA reference	10.3 — Ochratoxin A (µg/kg)	eCoA reference	11.1 — Lead (Pb) (mg/kg)	eCoA reference	11.2 — Cadmium (Cd) (mg/kg)	eCoA reference	11.3 — Arsenic (As) (mg/kg)	eCoA reference	11.4 — Mercury (Hg) (mg/kg)	eCoA reference	12 — Pesticide Residues	eCoA reference
								A.C. Conforms to description		A.C. Conforms to description		A.C. Identity confirmed		A.C. Per target grade (QCSP 001 §01)			A.C. ≤ 1.0		A.C. ≤ 1.0		A.C. ≤ 2.0		A.C. ≤ 12.0		A.C. ≤ 10⁵		A.C. ≤ 10⁴		A.C. ≤ 10⁴		A.C. Absence /25 g		A.C. Absence /1 g		A.C. ≤ 2		A.C. ≤ 4		A.C. ≤ 20		A.C. ≤ 0.5		A.C. ≤ 0.3		A.C. ≤ 0.2		A.C. ≤ 0.1		A.C. ≤ LOQ (Ph. Eur. 2.8.13)	
54	2025-11	CoQ-PP-2026-0051	OPM112501	P060222	Orange Punch Mimosa	OPM_THC10:CBD1	R1 · Mar 2026	Conforms	iCoA-PP-2026-0093 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0093 (proposed), 13.08.2026, PP	Missing / not tested	—	8.00	Grade IV, 7.09 – 13.00	ППК26031, 05.03.2026, CNP	0.02	ППК26031, 05.03.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0092 (proposed), 13.08.2026, PP	8.06	ППК26031, 05.03.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
55	2025-11	CoQ-PP-2026-0052	PM112501	P060232	Permanent Marker	PM_THC11.5:CBD1	R1 · Mar 2026	Conforms	iCoA-PP-2026-0095 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0095 (proposed), 13.08.2026, PP	Missing / not tested	—	13.33	Grade IV, 9.01 – 14.00	ППК26030, 05.03.2026, CNP	0.03	ППК26030, 05.03.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0094 (proposed), 13.08.2026, PP	8.61	ППК26030, 05.03.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
56	2025-11	CoQ-PP-2026-0060	SCR112501	P060282	Scrambler	SCR_THC18.5:CBD1	R1 · May 2026	Conforms	iCoA-PP-2026-0097 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0097 (proposed), 13.08.2026, PP	Missing / not tested	—	17.13	Grade III, 16.13 – 20.75	ППК26069, 11.05.2026, CNP	0.04	ППК26069, 11.05.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0096 (proposed), 13.08.2026, PP	6.84	ППК26069, 11.05.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
57	2025-11	CoQ-PP-2026-0050	SJ112501	P060192	Sleepy Joy	SJ_THC10.5:CBD1	R1 · Mar 2026	Conforms	iCoA-PP-2026-0099 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0099 (proposed), 13.08.2026, PP	Missing / not tested	—	9.20	Grade IV, 7.75 – 13.00	051-2-K/26, 04.03.2026, FARM	< LOQ (<0.20%)	051-2-K/26, 04.03.2026, FARM	< LOQ	051-2-K/26, 04.03.2026, FARM	Conforms	iCoA-PP-2026-0098 (proposed), 13.08.2026, PP	6.7	051-2-GS/26, 02.03.2026, FARM	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
58	2025-12	CoQ-PP-2026-0054	J31122501	P060262	Jokerz 31	J31_THC20:CBD1	R1 · Apr 2026	Conforms	iCoA-PP-2026-0101 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0101 (proposed), 13.08.2026, PP	Missing / not tested	—	19.84 ; 21.84	Grade II, 16.50 – 23.50 ; Grade II, 16.50 – 23.50	100-2-К/26, 09.04.2026, FARM ; 100-3-К/26, 09.04.2026, FARM	< LOQ (<0.20%) ; < LOQ (<0.20%)	100-2-К/26, 09.04.2026, FARM ; 100-3-К/26, 09.04.2026, FARM	< LOQ ; < LOQ	100-2-К/26, 09.04.2026, FARM ; 100-3-К/26, 09.04.2026, FARM	Conforms	iCoA-PP-2026-0100 (proposed), 13.08.2026, PP	"""10.3%  [DATA INTEGRITY FLAG — see source: this Farmahem report's own header/sample-line prints batch """"J31112501"""", but the K-report (100-2-К, same submission CF-151/152) and Purely Plant's Bundle cross-reference both confirm this is a labelling typo for J31122501]"" ; ""10.3%  [DATA INTEGRITY FLAG — see source: this Farmahem report's own header/sample-line prints batch """"J31112501"""", but the K-report (100-3-К, same submission CF-153/154) and Purely Plant's Bundle cross-reference both confirm this is a labelling typo for J31122501]"""	100-2-ГС/26, 09.04.2026, FARM ; 100-3-ГС/26, 09.04.2026, FARM	850 ; 1900	231/0394/26, 07.04.2026, IPH ; 230/0393/26, 07.04.2026, IPH	370 ; 840	231/0394/26, 07.04.2026, IPH ; 230/0393/26, 07.04.2026, IPH	< 10^2 and > 10 ; < 10^3 and > 10^2	231/0394/26, 07.04.2026, IPH ; 230/0393/26, 07.04.2026, IPH	Одговара (Complies/Absent) ; Одговара (Complies/Absent)	231/0394/26, 07.04.2026, IPH ; 230/0393/26, 07.04.2026, IPH	Одговара (Complies/Absent) ; Одговара (Complies/Absent)	231/0394/26, 07.04.2026, IPH ; 230/0393/26, 07.04.2026, IPH	Missing / not tested	—	2.5 ; COMPLIES (numeric value not present in captured source excerpt for report 1625/2026 — see Bundle cross-reference)	1628/2026, 23.04.2026, IPH ; 1625/2026, 23.04.2026, IPH	Missing / not tested	—	н.д.	1628/2026, 23.04.2026, IPH	н.д.	1628/2026, 23.04.2026, IPH	н.д.	1628/2026, 23.04.2026, IPH	н.д.	1628/2026, 23.04.2026, IPH	Lindan (Gama HCH): н.д.; Aldrin: н.д.; Dieldrin и Aldrin (expressed as Dieldrin): н.д.; HCB: н.д.; 4,4' DDE: н.д.; 4,4' DDD: н.д.; 4,4' DDT: н.д.; вкупно DDT (total DDT): н.д.; delta HCH: н.д.; alpha HCH: н.д.; beta HCH: н.д.; Endrin: н.д.; Chlorpyrifos-methyl: н.д.; Chlorpyrifos: н.д.; Heptachlor (sum of Heptachlor + Heptachlor epoxide): н.д.; Endosulfan (alpha, beta and endosulfan sulfate): н.д.; Deltamethrin: н.д.; Chlordane (sum of cis- and trans-chlordane): н.д.; Metoxychlor: н.д.; Heptachlor epoxide: н.д.; Endrin aldehyde: н.д.; alpha Endosulfan: н.д.; beta Endosulfan: н.д.; Endrin keton: н.д.; trans-Chlordane: н.д.; cis-Chlordane: н.д.; Dieldrin: н.д.; Heptachlor: н.д.; Endosulfan sulfate: н.д. ; Lindan (Gama HCH): н.д.; Aldrin: н.д.; Dieldrin и Aldrin (expressed as Dieldrin): н.д.; HCB: н.д.; 4,4' DDE: н.д.; 4,4' DDD: н.д.; 4,4' DDT: н.д.; вкупно DDT (total DDT): н.д.; delta HCH: н.д.; alpha HCH: н.д.; beta HCH: н.д.; Endrin: н.д.; Chlorpyrifos-methyl: н.д.; Chlorpyrifos: н.д.; Heptachlor (sum of Heptachlor + Heptachlor epoxide): н.д.; Endosulfan (alpha, beta and endosulfan sulfate): н.д.; Deltamethrin: н.д.; Chlordane (sum of cis- and trans-chlordane): н.д.; Metoxychlor: н.д.; Heptachlor epoxide: н.д.; Endrin aldehyde: н.д.; alpha Endosulfan: н.д.; beta Endosulfan: н.д.; Endrin keton: н.д.; trans-Chlordane: н.д.; cis-Chlordane: н.д.; Dieldrin: н.д.; Heptachlor: н.д.; Endosulfan sulfate: н.д.	1628/2026, 23.04.2026, IPH ; 1625/2026, 23.04.2026, IPH
59	2025-12	CoQ-PP-2026-0055	OPM122501	P060242	Orange Punch Mimosa	OPM_THC10:CBD1	R1 · Apr 2026	Conforms	iCoA-PP-2026-0103 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0103 (proposed), 13.08.2026, PP	Missing / not tested	—	8.09	Grade IV, 7.09 – 13.00	100-4-К/26, 09.04.2026, FARM	< LOQ (<0.20%)	100-4-К/26, 09.04.2026, FARM	< LOQ	100-4-К/26, 09.04.2026, FARM	Conforms	iCoA-PP-2026-0102 (proposed), 13.08.2026, PP	6.6	100-4-ГС/26, 09.04.2026, FARM	120	229/0392/26, 07.04.2026, IPH	100	229/0392/26, 07.04.2026, IPH	<10	229/0392/26, 07.04.2026, IPH	Одговара (Complies/Absent)	229/0392/26, 07.04.2026, IPH	Одговара (Complies/Absent)	229/0392/26, 07.04.2026, IPH	—	—	2.2	1627/2026, 23.04.2026, IPH	—	—	0.049	1627/2026, 23.04.2026, IPH	0.165	1627/2026, 23.04.2026, IPH	н.д.	1627/2026, 23.04.2026, IPH	н.д.	1627/2026, 23.04.2026, IPH	Lindan (Gama HCH): н.д.; Aldrin: н.д.; Dieldrin и Aldrin (expressed as Dieldrin): н.д.; HCB: н.д.; 4,4' DDE: н.д.; 4,4' DDD: н.д.; 4,4' DDT: н.д.; вкупно DDT (total DDT): н.д.; delta HCH: н.д.; alpha HCH: н.д.; beta HCH: н.д.; Endrin: н.д.; Chlorpyrifos-methyl: н.д.; Chlorpyrifos: н.д.; Heptachlor (sum of Heptachlor + Heptachlor epoxide): н.д.; Endosulfan (alpha, beta and endosulfan sulfate): н.д.; Deltamethrin: н.д.; Chlordane (sum of cis- and trans-chlordane): н.д.; Metoxychlor: н.д.; Heptachlor epoxide: н.д.; Endrin aldehyde: н.д.; alpha Endosulfan: н.д.; beta Endosulfan: н.д.; Endrin keton: н.д.; trans-Chlordane: н.д.; cis-Chlordane: н.д.; Dieldrin: н.д.; Heptachlor: н.д.; Endosulfan sulfate: н.д.	1627/2026, 23.04.2026, IPH
		CoQ-PP-2026-0091					R2 · Aug 2026	—	—	—	—			7.91	Grade IV, 7.09 – 13.00	197-19-К/26, 07.08.2026, FARM	<LOQ %w/w	197-19-К/26, 07.08.2026, FARM	<LOQ %w/w	197-19-К/26, 07.08.2026, FARM	—	—	—	—	—	—	—	—	—	—	—	—	—	—	ND	197-19-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four aflatoxins not detected)	197-19-М/26, 10.08.2026, FARM ; 197-19-М/26, 10.08.2026, FARM ; 197-19-М/26, 10.08.2026, FARM ; 197-19-М/26, 10.08.2026, FARM	ND	197-19-М/26, 10.08.2026, FARM	—	—	—	—	—	—	—	—	—	—
60	2026-01	CoQ-PP-2026-0092	CC012601/1	P060332	Cash Cow	CC_THC18:CBD1	R1 · Aug 2026	Conforms	iCoA-PP-2026-0105 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0105 (proposed), 13.08.2026, PP	Missing / not tested	—	17.67	Grade III, 15.50 – 20.50	197-6-К/26, 07.08.2026, FARM	<LOQ %w/w	197-6-К/26, 07.08.2026, FARM	<LOQ %w/w	197-6-К/26, 07.08.2026, FARM	Conforms	iCoA-PP-2026-0104 (proposed), 13.08.2026, PP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	ND	197-6-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four aflatoxins not detected)	197-6-М/26, 10.08.2026, FARM ; 197-6-М/26, 10.08.2026, FARM ; 197-6-М/26, 10.08.2026, FARM ; 197-6-М/26, 10.08.2026, FARM	ND	197-6-М/26, 10.08.2026, FARM	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
61	2026-01	CoQ-PP-2026-0061	FB012601/1	P060322	Fat Bastard	FB_THC16.5:CBD1	R1 · May 2026	Conforms	iCoA-PP-2026-0107 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0107 (proposed), 13.08.2026, PP	Missing / not tested	—	14.68	Grade III, 13.68 – 19.25	ППК26067, 11.05.2026, CNP	0.04	ППК26067, 11.05.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0106 (proposed), 13.08.2026, PP	7.67	ППК26067, 11.05.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
62	2026-01	CoQ-PP-2026-0062	GG012601	P060302	Gorilla Glue	GG_THC15:CBD1	R1 · May 2026	Conforms	iCoA-PP-2026-0109 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0109 (proposed), 13.08.2026, PP	Missing / not tested	—	15.35	Grade III, 12.34 – 18.00	ППК26062, 11.05.2026, CNP	0.06	ППК26062, 11.05.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0108 (proposed), 13.08.2026, PP	6.13	ППК26062, 11.05.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
63	2026-01	CoQ-PP-2026-0063	JD012601	P060312	Jelly Donutz	JD_THC20:CBD1	R1 · May 2026	Conforms	iCoA-PP-2026-0111 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0111 (proposed), 13.08.2026, PP	Missing / not tested	—	18.16	Grade III, 18.00 – 22.00	ППК26064, 11.05.2026, CNP	0.06	ППК26064, 11.05.2026, CNP	Missing / not tested	—	Conforms	iCoA-PP-2026-0110 (proposed), 13.08.2026, PP	6.68	ППК26064, 11.05.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
64	2026-01	CoQ-PP-2026-0093	FB012602	P060352	Fat Bastard	FB_THC16.5:CBD1	R1 · Aug 2026	Conforms	iCoA-PP-2026-0113 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0113 (proposed), 13.08.2026, PP	Missing / not tested	—	18.86	Grade III, 13.68 – 19.25	197-7-К/26, 07.08.2026, FARM	<LOQ %w/w	197-7-К/26, 07.08.2026, FARM	0.22	197-7-К/26, 07.08.2026, FARM	Conforms	iCoA-PP-2026-0112 (proposed), 13.08.2026, PP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	ND	197-7-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four aflatoxins not detected)	197-7-М/26, 10.08.2026, FARM ; 197-7-М/26, 10.08.2026, FARM ; 197-7-М/26, 10.08.2026, FARM ; 197-7-М/26, 10.08.2026, FARM	ND	197-7-М/26, 10.08.2026, FARM	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
65	2026-01	CoQ-PP-2026-0064	FB012603	—	Fat Bastard	FB_THC22:CBD1	R1 · Jun 2026	Conforms	iCoA-PP-2026-0114 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0114 (proposed), 13.08.2026, PP	Conforms / Одговара	ППК26112, 30.06.2026, CNP	20.83	Grade II, 19.25 – 24.75	ППК26112, 30.06.2026, CNP	0.21	ППК26112, 30.06.2026, CNP	0.06	ППК26112, 30.06.2026, CNP	Conforms (no seed, no leaves >1cm)	ППК26112, 30.06.2026, CNP	7.04	ППК26112, 30.06.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
66	2026-01	CoQ-PP-2026-0065	FB012603V	P060392	Fat Bastard	FB_THC16.5:CBD1	R1 · Jun 2026	Conforms	iCoA-PP-2026-0115 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0115 (proposed), 13.08.2026, PP	Conforms / Одговара	ППК26110, 30.06.2026, CNP	18.29	Grade III, 13.68 – 19.25	ППК26110, 30.06.2026, CNP	0.16	ППК26110, 30.06.2026, CNP	0.06	ППК26110, 30.06.2026, CNP	/ (Conforms; no seed, no leaves >1 cm)	ППК26110, 30.06.2026, CNP	6.36	ППК26110, 30.06.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
67	2026-01	CoQ-PP-2026-0094	GG012603	P060402	Gorilla Glue	GG_THC15:CBD1	R1 · Jun–Aug 2026	Conforms	iCoA-PP-2026-0116 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0116 (proposed), 13.08.2026, PP	Conforms / Одговара	ППК26114, 30.06.2026, CNP	16.70 ; 17.59	Grade III, 12.34 – 18.00 ; Grade III, 12.34 – 18.00	197-8-К/26, 07.08.2026, FARM ; ППК26114, 30.06.2026, CNP	<LOQ %w/w ; 0.05	197-8-К/26, 07.08.2026, FARM ; ППК26114, 30.06.2026, CNP	<LOQ %w/w ; 0.15	197-8-К/26, 07.08.2026, FARM ; ППК26114, 30.06.2026, CNP	0.09% (Conforms)	ППК26114, 30.06.2026, CNP	6.48	ППК26114, 30.06.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	ND	197-8-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four aflatoxins not detected)	197-8-М/26, 10.08.2026, FARM ; 197-8-М/26, 10.08.2026, FARM ; 197-8-М/26, 10.08.2026, FARM ; 197-8-М/26, 10.08.2026, FARM	ND	197-8-М/26, 10.08.2026, FARM	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
68	2026-01	CoQ-PP-2026-0066	JD012603/2	P060412	Jelly Donutz	JD_THC20:CBD1	R1 · Jun 2026	Conforms	iCoA-PP-2026-0117 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0117 (proposed), 13.08.2026, PP	Conforms / Одговара	ППК26113, 30.06.2026, CNP	20.54	Grade III, 18.00 – 22.00	ППК26113, 30.06.2026, CNP	0.05	ППК26113, 30.06.2026, CNP	0.05	ППК26113, 30.06.2026, CNP	/ (Conforms; no seed, no leaves >1 cm)	ППК26113, 30.06.2026, CNP	7.52	ППК26113, 30.06.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
69	2026-01	CoQ-PP-2026-0067	JD012603/2V	P060422	Jelly Donutz	JD_THC15:CBD1	R1 · Jun 2026	Conforms	iCoA-PP-2026-0118 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0118 (proposed), 13.08.2026, PP	Conforms / Одговара	ППК26111, 30.06.2026, CNP	15.16	Grade IV, 12.50 – 18.00	ППК26111, 30.06.2026, CNP	BLQ (below limit of quantification)	ППК26111, 30.06.2026, CNP	0.04	ППК26111, 30.06.2026, CNP	/ (Conforms; no seed, no leaves >1 cm)	ППК26111, 30.06.2026, CNP	7.04	ППК26111, 30.06.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
70	2026-01	CoQ-PP-2026-0095	SCR012603	P060382	Scrambler	SCR_THC18.5:CBD1	R1 · Aug 2026	Conforms	iCoA-PP-2026-0120 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0120 (proposed), 13.08.2026, PP	Missing / not tested	—	17.84	Grade III, 16.13 – 20.75	197-21-К/26, 07.08.2026, FARM	<LOQ %w/w	197-21-К/26, 07.08.2026, FARM	<LOQ %w/w	197-21-К/26, 07.08.2026, FARM	Conforms	iCoA-PP-2026-0119 (proposed), 13.08.2026, PP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	ND	197-21-М/26, 10.08.2026, FARM	ND ; ND ; ND ; ND (all four aflatoxins not detected)	197-21-М/26, 10.08.2026, FARM ; 197-21-М/26, 10.08.2026, FARM ; 197-21-М/26, 10.08.2026, FARM ; 197-21-М/26, 10.08.2026, FARM	ND	197-21-М/26, 10.08.2026, FARM	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
71	2026-02	CoQ-PP-2026-0068	JD022601	—	Jelly Donutz	JD_THC20:CBD1	R1 · Jun 2026	Conforms	iCoA-PP-2026-0121 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0121 (proposed), 13.08.2026, PP	Conforms / Одговара	ППК26115, 30.06.2026, CNP	18.58	Grade III, 18.00 – 22.00	ППК26115, 30.06.2026, CNP	BLQ (below limit of quantification)	ППК26115, 30.06.2026, CNP	0.05	ППК26115, 30.06.2026, CNP	/ (Conforms; no seed, no leaves >1 cm)	ППК26115, 30.06.2026, CNP	7.73	ППК26115, 30.06.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
72	2026-02	CoQ-PP-2026-0069	SCR022601	—	Scrambler	SCR_THC23:CBD1	R1 · Jul 2026	Conforms	iCoA-PP-2026-0122 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0122 (proposed), 13.08.2026, PP	Conforms / Одговара	ППК26116, 06.07.2026, CNP	21.92	Grade II, 20.75 – 25.25	ППК26116, 06.07.2026, CNP	0.19	ППК26116, 06.07.2026, CNP	0.06	ППК26116, 06.07.2026, CNP	/ (Conforms; no seed, no leaves >1 cm)	ППК26116, 06.07.2026, CNP	7.06	ППК26116, 06.07.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
73	2026-03	CoQ-PP-2026-0073	FB032601	—	Fat Bastard	FB_THC11:CBD1	R1 · Jul 2026	Conforms	iCoA-PP-2026-0123 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0123 (proposed), 13.08.2026, PP	Conforms / Одговара	ППК26127, 21.07.2026, CNP	12.39	Grade IV, 8.25 – 13.68	ППК26127, 21.07.2026, CNP	0.06	ППК26127, 21.07.2026, CNP	0.04	ППК26127, 21.07.2026, CNP	0.08% (Не одговара) — NON-CONFORM: cannabis seed present [DATA INTEGRITY FLAG — see source]	ППК26127, 21.07.2026, CNP	7.77	ППК26127, 21.07.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
74	2026-03	CoQ-PP-2026-0074	GG032601	—	Gorilla Glue	GG_THC21:CBD1	R1 · Jul 2026	Conforms	iCoA-PP-2026-0124 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0124 (proposed), 13.08.2026, PP	Conforms / Одговара	ППК26128, 21.07.2026, CNP	18.98	Grade II, 18.00 – 24.00	ППК26128, 21.07.2026, CNP	0.25	ППК26128, 21.07.2026, CNP	0.04	ППК26128, 21.07.2026, CNP	/ (Conforms; no seed, no leaves >1 cm)	ППК26128, 21.07.2026, CNP	7.88	ППК26128, 21.07.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
75	—	CoQ-PP-2026-0070	P160012	P160012	Grape Pie	GP_THC28:CBD1	R1 · Jul 2026	Conforms	iCoA-PP-2026-0125 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0125 (proposed), 13.08.2026, PP	Conforms / Одговара	ППК26117, 06.07.2026, CNP	26.32	Grade I, 26.00 – 30.00	ППК26117, 06.07.2026, CNP	0.15	ППК26117, 06.07.2026, CNP	0.09	ППК26117, 06.07.2026, CNP	0.42% (Conforms)	ППК26117, 06.07.2026, CNP	6.31	ППК26117, 06.07.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
76	—	CoQ-PP-2026-0071	P160022	P160022	Grape Pie	GP_THC24:CBD1	R1 · Jul 2026	Conforms	iCoA-PP-2026-0126 (proposed), 13.08.2026, PP	Conforms	iCoA-PP-2026-0126 (proposed), 13.08.2026, PP	Conforms / Одговара	ППК26118, 06.07.2026, CNP	25.72	Grade II, 22.00 – 26.00	ППК26118, 06.07.2026, CNP	0.15	ППК26118, 06.07.2026, CNP	0.10	ППК26118, 06.07.2026, CNP	/ (Conforms; no seed, no leaves >1 cm)	ППК26118, 06.07.2026, CNP	6.67	ППК26118, 06.07.2026, CNP	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—	Missing / not tested	—
