code	cu	p	strain	dir	series	tested	packaging	issued	conforms	path
iCoA-PP_26-081	FB012603	P060432	Fat Bastard	INITIAL	initial release	15.06.2026	15.06.2026	15.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-081_P060432_FB_Fat_Bastard_Initial.html
iCoA-PP_26-082	SCR022601	P060442	Scrambler	INITIAL	initial release	18.06.2026	18.06.2026	18.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-082_P060442_SCR_Scrambler_Initial.html
iCoA-PP_26-083	FB032601	P060452	Fat Bastard	INITIAL	initial release	29.06.2026	29.06.2026	29.06.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-083_P060452_FB_Fat_Bastard_Initial.html
iCoA-PP_26-084	— not recorded — (P160012)	P160012	Grape Pie	INITIAL	initial release			06.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-084_P160012_GP_Grape_Pie_Initial.html
iCoA-PP_26-085	— not recorded — (P160022)	P160022	Grape Pie	INITIAL	initial release			06.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-085_P160022_GP_Grape_Pie_Initial.html
iCoA-PP_26-086	— not recorded — (P160032)	P160032	Grape Pie	INITIAL	initial release			06.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-086_P160032_GP_Grape_Pie_Initial.html
iCoA-PP_26-087	GG032601	P060462	Gorilla Glue	INITIAL	initial release	16.07.2026	16.07.2026	16.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/INITIAL/iCoA-PP_26-087_P060462_GG_Gorilla_Glue_Initial.html
iCoA-PP_26-088	BG1024	N/A — no P batch assigned	Blue Gelato	RETEST	retest 1	21.07.2026	07.03.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-088_BG1024_BG_Blue_Gelato_Retest_1.html
iCoA-PP_26-089	BSS1024	N/A — no P batch assigned	Blue Sunset Sherbet	RETEST	retest 1	21.07.2026	04.03.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-089_BSS1024_BSS_Blue_Sunset_Sherbet_Retest_1.html
iCoA-PP_26-090	CJ052501/01	P050162	Cap Junky	RETEST	retest 1	21.07.2026	30.09.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-090_P050162_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-091	CJ062501/2	P050212	Cap Junky	RETEST	retest 2	21.07.2026	18.11.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-091_P050212_CJ_Cap_Junky_Retest_2.html
iCoA-PP_26-092	CJ082501/2	P060032	Cap Junky	RETEST	retest 1	21.07.2026	29.01.2026	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-092_P060032_CJ_Cap_Junky_Retest_1.html
iCoA-PP_26-093	CC012601/1	P060332	Cash Cow	RETEST	retest 1	21.07.2026	22.05.2026	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-093_P060332_CC_Cash_Cow_Retest_1.html
iCoA-PP_26-094	GG1024_01	P050092	Gorilla Glue	RETEST	retest 1	22.07.2026	31.07.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-094_P050092_GG_Gorilla_Glue_Retest_1.html
iCoA-PP_26-095	GP052501	P050152	Grape Pie	RETEST	retest 1	22.07.2026	25.09.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-095_P050152_GP_Grape_Pie_Retest_1.html
iCoA-PP_26-096	GP0824_02	P050022	Grape Pie	RETEST	retest 5	22.07.2026	03.06.2025	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-096_P050022_GP_Grape_Pie_Retest_5.html
iCoA-PP_26-097	FB012602*	P060352	Fat Bastard	RETEST	retest 1	22.07.2026	23.05.2026	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-097_P060352_FB_Fat_Bastard_Retest_1.html
iCoA-PP_26-098	GG012603	P060402	Gorilla Glue	RETEST	retest 1	22.07.2026	24.05.2026	27.07.2026	conforms	Final_Docs/xCOAs/CoX_DES/ISSUE_iCOA/RETEST/iCoA-PP_26-098_P060402_GG_Gorilla_Glue_Retest_1.html
