Purely Plant — Batch QC Testing Results Register
"One row per batch · consolidated from eCoA_DATABASE (291 certificates, complete mirror of the ingestion folder) · CoQ-forming value = latest release-type result from a laboratory scoped for the parameter · stability results excluded · values exactly as printed on the certificate; units in headers only · built 27.08.2026"

No.,Production,Tranche,Batch No. (cultivation),P-number,Strain,Product code,CoQ doc. code (proposed),First result,Latest result,# eCoAs,Total Δ9-THC [%],Total CBD [%],Total CBN [%],Loss on Drying [%],Foreign Matter [%],Macroscopic ID,Microscopic ID,Identification (HPTLC),TAMC [CFU/g],TYMC [CFU/g],Bile-tolerant GNB [CFU/g],Salmonella [/25 g],E. coli [/1 g],Total Aflatoxins [µg/kg],Aflatoxin B1 [µg/kg],Ochratoxin A [µg/kg],Lead (Pb) [mg/kg],Cadmium (Cd) [mg/kg],Arsenic (As) [mg/kg],Mercury (Hg) [mg/kg],Pesticide Residues
,,,,,,A.C. →,,,,,per target grade (QCSP 001 §01),≤ 1.0,≤ 1.0,≤ 12.0,≤ 2.0,Conforms to description,Conforms to description,Identity confirmed,≤ 10^5,≤ 10^4,≤ 10^4,Absence /25 g,Absence /1 g,≤ 4,≤ 2,≤ 20,≤ 0.5,≤ 0.3,≤ 0.2,≤ 0.1,≤ LOQ (Ph. Eur. 2.8.13)
21,,3,CJ052501/02,P050172,Cap Junky,,,15.09.2025,21.01.2026,4,14.93,0.10,0.02,6.63,Confirms,,Confirms,Confirms,9 x 10^3,"6,3 x 10^3",< 10⁴CFU/g,Одговара,Одговара,< 2,Н.д.,Н.д.,"0,02",Н.д.,"0,042",н.д.,Н.д.
22,2025-05,1,GP052501,P050152,Grape Pie,GP_THC20:CBD1,CoQ-PP-2026-0022,15.09.2025,10.08.2026,5,18.52,< LOQ,< LOQ,7.30,,,,,"2,1 x 10^4","3,6 x 10^4",,Absent,Absent,< 2,ND,ND,0.06,Н.Д.,Н.Д.,Н.Д.,Одговара
23,2025-05,2,HPA052501,P050182,High Pro Amnesia,HPA_THC22:CBD1,CoQ-PP-2026-0023,15.09.2025,22.09.2025,4,20.39,0.09,0.02,7.29,Confirms,,,,"2,7 x 10⁴","2,6 x 10⁴",,Одговара,Одговара,< 2,Н.Д.,Н.Д.,"0,034",Н.Д.,Н.Д.,Н.Д.,Н.Д.
24,2025-06,3,GP062501,P050202,Grape Pie,GP_THC24:CBD1,CoQ-PP-2026-0025,08.10.2025,11.05.2026,9,24.89,0.17,,8.19,Confirms,,Confirms,Confirms,600,400,< 10,Одговара,Одговара,< 2,Н.Д.,Н.Д.,"0,077","0,014","0,024","0,011",Н.Д.
25,2025-06,,CJ062501/2,P050212,Cap Junky,CJ_THC17:CBD1,CoQ-PP-2026-0024,17.10.2025,10.08.2026,6,18.91,0.14,< LOQ,6.70,Confirms,,,,"2,2 x 10⁴","4,9 x 10³",,Одговара,Одговара,< 2,ND,ND,"0,026","0,002","0,011","0,012",Н.д.
26,2025-06,2,CJ062501/1,P050222,Cap Junky,CJ_THC22.5:CBD1,CoQ-PP-2026-0026,23.10.2025,01.12.2025,3,21.51,0.07,0.02,7.77,,,,,< 10 CFU/g,20 CFU/g,,Одговара,Одговара,< 2,Н.д.,Н.д.,"0,037","0,002","0,027","0,017",ОДГОВАРА НА
27,2025-05,2,BSS052501,P050192,Blue Sunset Sherbet,BSS_THC22:CBD1,CoQ-PP-2026-0029,17.11.2025,04.12.2025,7,20.39,0.11,0.01,8.60,Confirms,,Confirms,,200,200,,Одговара,Одговара,N.D.,ND,<LOQ,"0,024","0,004","0,025","0,0036",N.D.
28,2025-07,3,CJ072501,P050252,Cap Junky,CJ_THC22.5:CBD1,CoQ-PP-2026-0027,28.11.2025,02.12.2025,3,23.70,26.20,,8.22,,,,,"4,5 x 10^3 CFU/g","3,5 x 10^3 CFU/g",< 10 CFU/g,Одговара,Одговара,< 2,N.D.,N.D.,"0,013","0,004","0,011","0,002",Не одговара
29,2025-07,2,CLE072501,P050282,Clemosa a bud,CLE_THC7.5:CBD1,CoQ-PP-2026-0030,28.11.2025,21.01.2026,4,8.02,0.04,≤ 1.00,9.68,Confirms,,,Confirms,< 10 CFU/g,< 10 CFU/g,,Отсутна,< 10 CFU/g,"2,2",Н.д.,Н.д.,"0,032","0,002","0,013","0,021",Одговара
30,2025-07,3,PM072501,P050272,Permanent Marker,PM_THC11.5:CBD1,CoQ-PP-2026-0033,28.11.2025,21.01.2026,4,10.01,0.04,N.D,9.52,Confirms,,Confirms,Confirms,110,200,<10,Одговара,Одговара,< 2,N.D.,N.D.,"0,021","0,001","0,012","0,003",Н.д.
31,2025-07,3,WC072501,P050262,Wedding Crasher,WC_THC22.5:CBD1,CoQ-PP-2026-0028,28.11.2025,02.12.2025,3,22.11,0.06,0.01,8.94,,,,,100 CFU/g,90 CFU/g,< 10^2 CFU/g,Одговара,Одговара,< 2,Н.Д.,Н.Д.,"0,023","0,005","0,006","0,01",Н.д.
32,2025-07,3,GP072501/1,P050292,Grape Pie,GP_THC20:CBD1,CoQ-PP-2026-0031,05.12.2025,21.01.2026,4,21.36,0.11,0.02,6.62,Confirms,,,,6 x 10³,"6,5 x 10³",< 10 CFU/g,Одговара,Одговара,< 2,Н.Д.,Н.Д.,"0,028","0,003","0,03","0,025",Одговара
33,2025-07,2,GP072501/2,P050302,Grape Pie,GP_THC20:CBD1,CoQ-PP-2026-0032,05.12.2025,21.01.2026,4,19.81,0.10,0.03,7.41,Confirms,,Confirms,Confirms,2 x 10²,3 x 10²,< 10,Одговара,Одговара,< 2,Н.Д.,Н.Д.,"0,017","0,0028","0,02","0,019",Н.д.
34,2025-08,2,GP082501/1,P050312,Grape Pie,GP_THC20:CBD1,CoQ-PP-2026-0034,05.12.2025,21.01.2026,4,21.29,0.08,0.03,6.29,Confirms,,Confirms,Confirms,"4,3 x 10^2",1 x 10^3,< 10³ and >10²,Одговара,Одговара,< 2,Н.Д.,Н.Д.,"0,014","0,003","0,02","0,017",Н.Д.
35,2025-08,1,GP082501/2,P050322,Grape Pie,GP_THC16:CBD1,CoQ-PP-2026-0035,05.12.2025,10.08.2026,6,15.70,< LOQ,< LOQ,6.88,Confirms,,Confirms,Confirms,"3,2 x 10³","5,8 x 10³",< 10⁴ and >10³,Одговара,Одговара,< 2,ND,ND,"0,013","0,003","0,02","0,016",Н.Д.
36,2025-09,3,AB092501,P060052,Apple and Banana,AB_THC17.5:CBD1,CoQ-PP-2026-0037,20.01.2026,20.02.2026,4,16.93,0.08,ND,6.77,Confirms,,Confirms,Confirms,< 10,< 10,<10 CFU/g,Одговара,Одговара,< 2,Н.Д.,Н.Д.,"0,05",Н.Д.,Н.Д.,"0,003",Н.Д.
