Seq,CoQ number,CoQ type,Basis date,Issue date,Packaged lot,Cultivation batch,Strain,Grade,iCoA reference,№,Group,Parameter,Параметар,Method / reference,Acceptance criterion,Result,Source document,Document date,Issuing institution,Report series,Status,Performed by,Also on file
34,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,9.3,Microbiological Purity | Микробиолошка Чистота,Bile-tolerant gram-neg.,Жолчно-толерантни грам-нег.,Ph. Eur. 2.6.31 cat. C,≤ 10⁴ CFU/g,<10² and >10,163/0271/25,24.02.2025,IPH — Institute of Public Health,IPH microbiology,covered,,
35,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,9.4,Microbiological Purity | Микробиолошка Чистота,Salmonella,Салмонела,Ph. Eur. 2.6.31 cat. C,Absence | Отсуство / 25 g,Одговара (absent),163/0271/25,24.02.2025,IPH — Institute of Public Health,IPH microbiology,covered,,
36,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,9.5,Microbiological Purity | Микробиолошка Чистота,Escherichia coli,Ешерихија коли,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,Одговара (absent),163/0271/25,24.02.2025,IPH — Institute of Public Health,IPH microbiology,covered,,
37,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,9.6,Microbiological Purity | Микробиолошка Чистота,Pseudomonas aeruginosa,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
38,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,9.7,Microbiological Purity | Микробиолошка Чистота,Staphylococcus aureus,,Ph. Eur. 2.6.13 cat. C,Absence | Отсуство / 1 g,—,—,,,,upon request — not required for release,,
39,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,10.1,Mycotoxins | Микотоксини,Aflatoxin B₁,Афлатоксин B₁,Ph. Eur. 2.8.18 (HPLC-FLD),≤ 2 µg/kg,—,—,,,,not tested — no certificate covers it,,ND (197-1-М/26)
40,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,10.2,Mycotoxins | Микотоксини,Aflatoxins ∑,Афлатоксини ∑ (B₁+B₂+G₁+G₂),Ph. Eur. 2.8.18 (HPLC-FLD),≤ 4 µg/kg,<2,752/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",covered,,ND (197-1-М/26)
41,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,10.3,Mycotoxins | Микотоксини,Ochratoxin A,Охратоксин A,Ph. Eur. 2.8.22 (HPLC-FLD),≤ 20 µg/kg,—,—,,,,not tested — no certificate covers it,,ND (197-1-М/26)
42,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,11.1,Heavy Metals | Тешки метали,Lead (Pb),Олово (Pb),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.5 mg/kg,0.01,752/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",covered,,
43,CoQ-PP-2025-0002,initial release,07.03.2025,≥ 11.05.2026,BG1024,BG1024,Blue Gelato,I,iCoA-PP-2025-0002,11.2,Heavy Metals | Тешки метали,Cadmium (Cd),Кадмиум (Cd),Ph. Eur. 2.4.27 (ICP-MS),≤ 0.3 mg/kg,0.016,752/2025,27.02.2025,IPH — Institute of Public Health,"IPH mycotoxins, metals, pesticides",covered,,
